publicationYear,title,isPartOf,docType,issueNumber,volumeNumber,creator
2010,The Temporal Structure of Scientific Consensus Formation,American Sociological Review,article,6,75,Uri Shwed; Peter S. Bearman
1993,Unorganized Interests and Collective Action in Communist China,American Sociological Review,article,1,58,Xueguang Zhou
2004,Towards the Social Reconstruction of an Interdisciplinary Turf War,American Sociological Review,article,3,69,Ezra W. Zuckerman
2005,2004 ASA Presidential Address: For Public Sociology,American Sociological Review,article,1,70,Michael Burawoy
2005,Border Crossing: Bricolage and the Erosion of Categorical Boundaries in French Gastronomy,American Sociological Review,article,6,70,Rodolphe Durand; Hayagreeva Rao; Philippe Monin
1988,Rethinking Macrosociological Theory,American Sociological Review,article,2,53,Gerhard Lenski
2004,Racial and Ethnic Differences in Marriage after the Birth of a Child,American Sociological Review,article,6,69,Kristen Harknett; Sara S. McLanahan
1950,Gang Membership and Juvenile Misconduct,American Sociological Review,article,6,15,William W. Wattenberg; James J. Balistrieri
2012,Structure and Dynamics of Religious Insurgency: Students and the Spread of the Reformation,American Sociological Review,article,2,77,Hyojoung Kim; Steven Pfaff
1975,Models of Status Inconsistency and Social Mobility Effects,American Sociological Review,article,3,40,Keith Hope
1981,Jasso on Distributive Justice,American Sociological Review,article,3,46,Karol Edward Sołtan
1981,Response to Bridges and Miller,American Sociological Review,article,5,46,Neil Fligstein; Michael Sobel; Wendy C. Wolf
2004,The Academic Caste System: Prestige Hierarchies in PhD Exchange Networks,American Sociological Review,article,2,69,Val Burris
1989,Social Integration and Longevity: An Event History Analysis of Women's Roles and Resilience,American Sociological Review,article,4,54,"Phyllis Moen; Donna Dempster-McClain; Robin M. Williams, Jr."
2008,Beyond the Census Tract: Patterns and Determinants of Racial Segregation at Multiple Geographic Scales,American Sociological Review,article,5,73,Barrett A. Lee; Glenn Firebaugh; Stephen A. Matthews; Sean F. Reardon; Chad R. Farrell; David O'Sullivan
2010,Gastronationalism: Food Traditions and Authenticity Politics in the European Union,American Sociological Review,article,3,75,Michaela DeSoucey
2001,The Wage Penalty for Motherhood,American Sociological Review,article,2,66,Michelle J. Budig; Paula England
2010,Cultural Foundations of Tokenism,American Sociological Review,article,6,75,Catherine J. Turco
2019,Performative State-Formation in the Early American Republic,American Sociological Review,article,2,84,Isaac Ariail Reed
1988,Divergence and Convergence in International Development: A Decomposition Analysis of Inequality in the World System,American Sociological Review,article,6,53,Walter Gillis Peacock; Greg A. Hoover; Charles D. Killian
1940,The Drug Addict as a Psychopath,American Sociological Review,article,6,5,A. R. Lindesmith
2014,Entrepreneurship as a Mobility Process,American Sociological Review,article,2,79,Jesper B. Sørensen; Amanda J. Sharkey
2018,Mass Mobilization and the Durability of New Democracies,American Sociological Review,article,2,83,Mohammad Ali Kadivar
2018,Precarious Sexuality,American Sociological Review,article,2,83,Trenton D. Mize; Bianca Manago
2018,"The Societalization of Social Problems: Church Pedophilia, Phone Hacking, and the Financial Crisis",American Sociological Review,article,6,83,Jeffrey C. Alexander
2012,Religion and Volunteering in Context,American Sociological Review,article,5,77,Carol Ann MacGregor; Chaeyoon Lim
2005,Unequal but Fluid: Social Mobility in Chile in Comparative Perspective,American Sociological Review,article,3,70,Florencia Torche
1996,Not for Widows Only: Institutional Politics and the Formative Years of Aid to Dependent Children,American Sociological Review,article,3,61,Nancy K. Cauthen; Edwin Amenta
1960,A Theory of Role Strain,American Sociological Review,article,4,25,William J. Goode
1980,"Bringing the Firms Back in: Stratification, Segmentation, and the Organization of Work",American Sociological Review,article,5,45,James N. Baron; William T. Bielby
1969,My Son the Doctor: Aspects of Mobility Among American Jews,American Sociological Review,article,3,34,Mariam K. Slater
2007,"Animal Practices, Ethnicity, and Community: The Turkish Pigeon Handlers of Berlin",American Sociological Review,article,6,72,Colin Jerolmack
2011,"Unions, Norms, and the Rise in U.S. Wage Inequality",American Sociological Review,article,4,76,Jake Rosenfeld; Bruce Western
2005,A Clash of Capitalisms: Foreign Shareholders and Corporate Restructuring in 1990s Japan,American Sociological Review,article,3,70,Christina L. Ahmadjian; Gregory E. Robbins
1990,"Explaining Military Coups D'État: Black Africa, 1957-1984",American Sociological Review,article,6,55,J. Craig Jenkins; Augustine J. Kposowa
1947,Book Notes,American Sociological Review,article,1,12,
1989,Evaluating the Evidence: Religious Economies and Sacred Canopies,American Sociological Review,article,6,54,Roger Finke; Rodney Stark
1989,Reply to O'Brien and Gwartney-Gibbs,American Sociological Review,article,3,54,William M. Mason; Joan R. Kahn
1976,Profit and Nonprofit Orientations and the Differentiations-Coordination Hypothesis for Organizations: A Study of Small General Hospitals,American Sociological Review,article,4,41,William A. Rushing
2018,Policy Entrepreneurs and the Origins of the Regulatory Welfare State: Child Labor Reform in Nineteenth-Century Europe,American Sociological Review,article,1,83,Elisabeth Anderson
2006,"Collective Action, Rival Incentives, and the Emergence of Antisocial Norms",American Sociological Review,article,2,71,James A. Kitts
2014,"Prenatal Exposure to Violence and Birth Weight in Mexico: Selectivity, Exposure, and Behavioral Responses",American Sociological Review,article,5,79,Florencia Torche; Andrés Villarreal
2018,The Social Sources of Geopolitical Power,American Sociological Review,article,6,83,Jonah Stuart Brundage
1999,Rebel without a Cause or Effect: Birth Order and Social Attitudes,American Sociological Review,article,2,64,Jeremy Freese; Brian Powell; Lala Carr Steelman
1988,Corporate Political Groupings: Does Ideology Unify Business Political Behavior?,American Sociological Review,article,2,53,Alan Neustadtl; Dan Clawson
2004,Reply to Zuckerman: Should Sociological Theories Venture into “Economic Territory?” Yes!,American Sociological Review,article,3,69,James D. Westphal; Edward J. Zajac
1996,Making Claims as Workers or Wives: The Distribution of Social Security Benefits,American Sociological Review,article,3,61,Madonna Harrington Meyer
2017,"Seeing Like the Fed: Culture, Cognition, and Framing in the Failure to Anticipate the Financial Crisis of 2008",American Sociological Review,article,5,82,Neil Fligstein; Jonah Stuart Brundage; Michael Schultz
2015,Tradition and Innovation in Scientists’ Research Strategies,American Sociological Review,article,5,80,Andrey Rzhetsky; James A. Evans; Jacob G. Foster
2010,Gastronationalism,American Sociological Review,article,3,75,Michaela DeSoucey
2008,The Colonial State as a Social Field: Ethnographic Capital and Native Policy in the German Overseas Empire before 1914,American Sociological Review,article,4,73,George Steinmetz
1951,Relationships Between Social Science and Child Guidance Practice,American Sociological Review,article,1,16,Otto Pollak
2019,Rhetorics of Radicalism,American Sociological Review,article,4,84,Daniel Karell; Michael Freedman
2006,Deterring Delinquents: A Rational Choice Model of Theft and Violence,American Sociological Review,article,1,71,Ross L. Matsueda; Derek A. Kreager; David Huizinga
1936,Early English Positivists and the Religion of Humanity,American Sociological Review,article,3,1,Gladys Bryson
1952,The Present Status of Social Theory: Discussion,American Sociological Review,article,2,17,Kenneth E. Bock
1991,"The Organization of Political Ideology: Culture, State, and Theater in Fascist Italy",American Sociological Review,article,5,56,Mabel Berezin
1975,Socioeconomic Status and Criminal Sentencing: An Empirical Assessment of a Conflict Proposition,American Sociological Review,article,6,40,Theodore G. Chiricos; Gordon P. Waldo
1980,Direct Government Involvement in the Economy: Theoretical and Empirical Extensions: Reply to Jackman and Firebaugh,American Sociological Review,article,1,45,Steven Stack
1996,"Concessions, Repression, and Political Protest in the Iranian Revolution",American Sociological Review,article,1,61,Karen Rasler
2006,"Comment on Somers and Block, ASR, April 2005: Free-Market and Religious Fundamentalists versus Poor Relief",American Sociological Review,article,3,71,Alexander Hicks
2010,"Threat, Resistance, and Collective Action",American Sociological Review,article,2,75,Thomas V. Maher
2009,Discrimination in a Low-Wage Labor Market: A Field Experiment,American Sociological Review,article,5,74,Devah Pager; Bart Bonikowski; Bruce Western
1983,"Issues of Theory, Issues of Fact",American Sociological Review,article,1,48,Kenneth A. Bollen; Burke D. Grandjean
2007,How Puerto Rico Became White: Boundary Dynamics and Intercensus Racial Reclassification,American Sociological Review,article,6,72,Jeronimo O. Muniz; Mara Loveman
1971,Student Unionism in the Netherlands: An Application of a Social Class Model,American Sociological Review,article,2,36,Cornelis J. Lammers
1986,Structure as Process: Organization and Role,American Sociological Review,article,5,51,Susan Lovegren Bosworth; Gary A. Kreps
2015,Working for Free in the VIP,American Sociological Review,article,6,80,Ashley Mears
1972,Role Differentiation,American Sociological Review,article,4,37,Gordon H. Lewis
2007,Climbing the Dispute Pagoda: Grievances and Appeals to the Official Justice System in Rural China,American Sociological Review,article,3,72,Ethan Michelson
1971,"The Religious Factor in Detroit: Review, Replication, and Reanalysis",American Sociological Review,article,1,36,Howard Schuman
1998,Strong Legacies and Weak Markets: Bulgarian State-Owned Enterprises During Early Transition,American Sociological Review,article,4,63,Kenneth I. Spenner; Olga O. Suhomlinova; Sten A. Thore; Kenneth C. Land; Derek C. Jones
2014,Racial Inequality Trends and the Intergenerational Persistence of Income and Family Structure,American Sociological Review,article,6,79,Deirdre Bloome
2016,Racial Capitalism and the Crisis of Black Masculinity,American Sociological Review,article,5,81,Jordanna Matlon
2012,Educational Differences in U.S. Adult Mortality: A Cohort Perspective,American Sociological Review,article,4,77,Ryan K. Masters; Robert A. Hummer; Daniel A. Powers
2017,The New Closed Shop? The Economic and Structural Effects of Occupational Licensure,American Sociological Review,article,3,82,Beth Redbird
2008,Mediation in Multiple Networks: Elite Mobilization before the English Civil War,American Sociological Review,article,3,73,Henning Hillmann
